Package Name,Reviewer Name,Review,Rating
org.thoughtcrime.securesms,karina bernardita (rose),Signal private message is the best,5
org.thoughtcrime.securesms,rori free,"Bring back SMS! - Loosing SMS Support is a huge disadvantage for me, should be optional.",3
org.thoughtcrime.securesms,Matt,PLEASE STOP REMINDING ME SINGAL NO LONGER SUPPORTS SMS. EVERY TIME I OPEN MY MESSAGES YOU REMIND ME.... I DON'T CARE! PLEASE LET ME DISABLE THIS ANNOYING NOTIFICATION!,1
org.thoughtcrime.securesms,Spencer,Good app,5
org.thoughtcrime.securesms,Wian Gerber,Great,5
org.thoughtcrime.securesms,Ali Hassan,Good app but not perfect for all things..,3
org.thoughtcrime.securesms,Lay Abdoo,Nice _ cool,5
org.thoughtcrime.securesms,James Smith,Can't get in,4
org.thoughtcrime.securesms,Doug Poelman,Works great.,5
org.thoughtcrime.securesms,golfecho2,"Not as good as telegram, do nor recommend. Emailed them with recommendations to make this better. No changes have been made and still months later no response to my email.",1
org.thoughtcrime.securesms,Bestin,"Works fine now. Used to be little laggy in the past, now it's better. The only issue I find is that the calls are often very noisy and the noise cancellation often doesn't work, for example as compared to Whatsapp. Hope it also gets better in the future.",4
org.thoughtcrime.securesms,äº—à¤¶à¥ˆà¤¤à¤¾Ã‘äº—,Excellent app but video call issue!,1
org.thoughtcrime.securesms,Aiden Ross,Who even needs this bro what you hiding ðŸ¤¨,1
org.thoughtcrime.securesms,Vasant Karuskar,Good,5
org.thoughtcrime.securesms,Avinash Gudena,Make a feature of a single theme applied for both chat users,3
org.thoughtcrime.securesms,Massa Morsell,I love that the messages on here are encrypted. Thank you for giving us a more secure form of chatting and sharing!,5
org.thoughtcrime.securesms,Abhi Ambikesh,Nice ðŸ¥°ðŸ¥°,4
org.thoughtcrime.securesms,Ankita Ambastha,Nice app but I would really wish to see some features like my decision on whether my last seen and online status would be visible or not.. Please add this feature. ALSO There is no option to see when the message got delivered. I would like that feature too.. thank you,4
org.thoughtcrime.securesms,Anh,"App has been laggy for about 2 months. Opening up is slower, conversations also take more time to load. Sometimes, keyboard does not pop up immediately when I focus on the input field.",3
org.thoughtcrime.securesms,scott tippens,App is great had a previous 5 star review but it no longer supports sms. So I had to get another messaging app. I don't like it as much. Hopefully Signal will support sms again in the future.,3
org.thoughtcrime.securesms,A Google user,Love it.,1
org.thoughtcrime.securesms,Brenda Robb,Very happy b,5
org.thoughtcrime.securesms,Lars Fraser,Awesome,5
org.thoughtcrime.securesms,Alex Davyduke,Good do far...,4
org.thoughtcrime.securesms,Tas Bih,Copy old messages to a new phone not successful.,1
org.thoughtcrime.securesms,Bryant Harts,Really a better experience than Whatsapp,5
org.thoughtcrime.securesms,Devkumar Kateboina,Spr good,5
org.thoughtcrime.securesms,Nick ODell,Not messenger....so it's awesome!,5
org.thoughtcrime.securesms,Jimmy Fluke,I love it. Great app. Signal... it's encrypted! Hooray Signal!,5
org.thoughtcrime.securesms,Larry Alwine,Fantastic app. I wish more people used it.,5
