Package Name,Reviewer Name,Review,Rating
com.google.android.apps.messaging,Angad Behera,Desi aunty sex nxx,5
com.google.android.apps.messaging,Emily Thruman,Easy Fast,5
com.google.android.apps.messaging,Kedir Zeinu,I love it,5
com.google.android.apps.messaging,zither q,"The icon looks like I have double vision, but it seems good with the rest.",5
com.google.android.apps.messaging,Allan Myerscough,It's not a bad app at all.,4
com.google.android.apps.messaging,Samay Lal,Very nice 👍,5
com.google.android.apps.messaging,Shaina Marie,Reliable app love that it allows us to change group names but kinda lame we can't change backgrounds or anything. Still recommend over most other messenger apps.,4
com.google.android.apps.messaging,ral islegend,Just another individual profiling app stealing all our private information and no doubt selling it to the highest bidder. Google shite hawks!!,1
com.google.android.apps.messaging,Cee Mace,"No issues encountered, excellent app!!",5
com.google.android.apps.messaging,Vivek Peter Selvanayagam,Shaky banner at the bottom for non repliable messages. Noted in S22 and S23 ultra.,1
com.google.android.apps.messaging,Anayesu Hillary,Nice,5
com.google.android.apps.messaging,GF Urself,"Typical Google, wasting my time with BS. I want to use the product NOT, get interrupted multiple times a day with your (unhelpful) hints & other non productive items. Sush as this, when I was attempting to dual confirm a sign it. Does anyone at Google actually use (or test) any of their products? Many great ideas, that are 70% effective but waste too much (non productive) time to operate",3
com.google.android.apps.messaging,Christine Allen,"It's good, but I wish we could change the fonts",4
com.google.android.apps.messaging,Kevin van Staden,"In messages the notification ""can't reply to this short code"" is flickering. Using a Samsung. Can't solve this problem, even after clearing cache and data of app, and also after force restarting the phone. Edit.... You didn't even read my review! WHAT A JOKE!!!!!",1
com.google.android.apps.messaging,Rohan Anerao,Ok,5
com.google.android.apps.messaging,Kukuh Wikartomo,"""Cant reply to this shortcut"" seems like flickering when used gesture navigation.. Yes, the uninstall update works, but I need to turn off auto updates for my apps.",1
com.google.android.apps.messaging,Robert Martin,It sucks,1
com.google.android.apps.messaging,Suresh Suri,Very bad,1
com.google.android.apps.messaging,Bhimappa S hooli,Good,3
com.google.android.apps.messaging,Mohanish Patil,Incoming message given link blinking fast with invisible,2
com.google.android.apps.messaging,Sky Sam,"After new Mar 2023 update, app crashes everytime I click on the in-app stickers option",2
com.google.android.apps.messaging,Saran SK,Nice 🙂👍,3
com.google.android.apps.messaging,Hastie Bigham,Awesome 👍,4
com.google.android.apps.messaging,Harsh (Pandit),I m so happy ☺️,5
com.google.android.apps.messaging,Manny F.,My pixel 5 connects messages to my Samsung Galaxy tablet. I have difficulty deleting texts on my tablet. I have to uninstall Messages on my tablet and reinstall to delete messages.,2
com.google.android.apps.messaging,Dan Recktenwall,Just about ever issue you can think of. very poor app.,1
com.google.android.apps.messaging,Kevin Minke,"This app came recommended to me when I got my android phone last year. And this past month, it has been absolutely horrible. Text aren't being sent or 3-4 copies are being sent, even when the app says it wasn't delivered. Then I'm receiving duplicate texts, over and over, from various people. I'm not receiving group texts, or I have to manually download them because they're stuck in outer space somewhere. It's just become annoying to even use. Edit: developer responded. But their link is broken",2
com.google.android.apps.messaging,Ali Haider,Good luck,1
com.google.android.apps.messaging,Philip Hill,Function at its best!,5
com.google.android.apps.messaging,Lovena Singla,Gd,5
com.google.android.apps.messaging,Christina Federici,"Ever since getting my new phone, RCS chat messages won't send. I've spent hours on the phone with T-mobile and Samsung and no one seems to know why. I've tried everything from wiping the phone to factory settings, disconnecting my number from RCS, clearing cache and data and nothing works. I miss being able to send messages! Edit: thanking the developer for responding but I've literally done all of those things multiple times. There's something wrong with the app.",2
com.google.android.apps.messaging,Dhaneshwar Sahu,यह बहोत हि बेकर अप्प है इसमे मर्क करके msg delete करने कि सुविधा नहि दि गई है जो पुरना oneplush ka phone tha usme bhot hi achha option tha usme msg ki catagary ke hisab se manage ho jate the yah akdam bekar bdhuda app hai meri reqvest hai ki ise jald se jad oneplush ke purane msg box ko fir se instol krne ki anumati de .............../........................................ ........................................................................................................./..,1
com.google.android.apps.messaging,Cole Griffin,"Great messaging app, me personally likes the chat features.",5
com.google.android.apps.messaging,Laurie Brown,I love my text messages,5
com.google.android.apps.messaging,Bhamidipati Sri ram Chandra murthy,👍💐,5
com.google.android.apps.messaging,Kashif Ali,Good,5
com.google.android.apps.messaging,Kavali Saibaba,👍,5
com.google.android.apps.messaging,Kanhiya Rao,kanhiya Rao🌹🌹 Rao,5
com.google.android.apps.messaging,Cynthia Sandoval,I do messages more than I talk on the phone. Thanks guys,5
com.google.android.apps.messaging,Yash Taraykar,Nice,5
com.google.android.apps.messaging,Bruno Banner,I really like this app,5
com.google.android.apps.messaging,Rishi Kumar Soni,Not working properly in my realme 9 pro plus 5g. It is shaking. Dir I tried to uninstall and reinstall this app but problem not solved..,1
com.google.android.apps.messaging,Marchel Richey,Review of messages is required because of auto correct picks. Sometimes GIFs attached to messages have to be resent several times.,4
com.google.android.apps.messaging,Kartavya Sharma,Can't receive SMS,1
com.google.android.apps.messaging,PENTAKOTA R V SATYANARAYANA,👌,4
com.google.android.apps.messaging,Indrajit Yadav,Good,3
com.google.android.apps.messaging,Brian Isindu Masinde Wendo,Best messaging app.,5
com.google.android.apps.messaging,محمد شعبان,بصراحه تطبيق كويس جدا مفيش لاج ولا تعليق ولا اي حاجه وبقي سلس وعصري اكتر,5
com.google.android.apps.messaging,Eh QAlandar,The fonts have vibration,1
com.google.android.apps.messaging,Richard Quaye,Good work,5
com.google.android.apps.messaging,Jay Choudhary,Nice and eassy to use,5
com.google.android.apps.messaging,Lydia Fosu-Gyeabour,On point 👍,4
com.google.android.apps.messaging,sathish kumar,Good work,5
com.google.android.apps.messaging,Mukund Alkunte,Good,4
com.google.android.apps.messaging,sathya narayanan,Unable to reach customer service 🐕‍🦺,1
com.google.android.apps.messaging,Sumanth Nunna,Super,5
com.google.android.apps.messaging,Tay Lendell,"The idea of the app seems good. I don't like that there is not a select all option to delete messages, and then the ability to deselect the ones that you actually want to keep. Along with that, there's no way to go to a trash box to restore a message that you may need later. Sometimes I'm sent a picture and it's stuck like it's downloading when it's supposed to download automatically or it doesn't download at all unless it times out or another pic is received in the same thread.",1
com.google.android.apps.messaging,Jo Guy,🤘,5
com.google.android.apps.messaging,Blake Saunders,No problem with it other than asking to rate,1
com.google.android.apps.messaging,Mamun hasan Redoy,Good Apps,5
com.google.android.apps.messaging,Usman Shafiq,New update very bad plz next update,1
com.google.android.apps.messaging,SHIVENDRA KUMAR,"With updated version of this particular app, there is a screen flickering issue in bottom. While, uninstalling the updates, the screen flickering issue got fixed. So, I'm using older version. Kindly look into it. Even after clearing cache twice, Problem not resolved so far.",1
com.google.android.apps.messaging,Avijit Hazra,Awesome 😎,5
com.google.android.apps.messaging,chandan dubey ooficial,Good,5
com.google.android.apps.messaging,DEEZ NUTZ,Great,5
com.google.android.apps.messaging,Edikan Bassey,Adding Android games would be a lovely idea.,5
com.google.android.apps.messaging,Sagar Suman,Well done 👍✅ ok,5
com.google.android.apps.messaging,Jon Stafford,Fantabidosi,5
com.google.android.apps.messaging,Edward Dixon,Unable to find unread messages,3
com.google.android.apps.messaging,Tyler DaSilva,Best built-in app for Android.,5
com.google.android.apps.messaging,Fact And classes,Very good,1
com.google.android.apps.messaging,Prakash VS,V good,5
com.google.android.apps.messaging,Josh Barnes,So far so good. Will update to 5 or w/e with more hands on time.,4
com.google.android.apps.messaging,Prakash Police,Good,4
com.google.android.apps.messaging,Tanzimul Islam,Excellent Stuff,5
com.google.android.apps.messaging,mamin 4418,Good messaging app,5
com.google.android.apps.messaging,Brenda Irving,Clear and quick,5
com.google.android.apps.messaging,Witech soft,Please change icon something having in my eye,4
com.google.android.apps.messaging,Swapnil Desai,Cant reply to shortcode bug is frustrating. Fix this issue asap.,1
com.google.android.apps.messaging,GOLU KUMAR,Maha bekar app,1
com.google.android.apps.messaging,Captain Kumar,inside chat the notification because flickering..,1
com.google.android.apps.messaging,H Rahman,Swipe to calling option de do,2
com.google.android.apps.messaging,Mohit Hirawala,To mach hang,1
com.google.android.apps.messaging,Les Litchfield,"Can text to groups and individuals, can include pictures, documents, imogees as well!",5
com.google.android.apps.messaging,Muhammad Azril,Terukk,1
com.google.android.apps.messaging,Umar Dahiru,User friendly,5
com.google.android.apps.messaging,Nicolina Clarke,WoW,5
com.google.android.apps.messaging,Rajeshwar Sriramula,Getting below error Can't reply to this short code Learn more,4
com.google.android.apps.messaging,Gaurav Kumar 920,Nice,5
com.google.android.apps.messaging,Emmanuel David,So good so far,5
com.google.android.apps.messaging,Gary Rosenberger,Always easy to use.,4
com.google.android.apps.messaging,Sahin Sk,Faltu,1
com.google.android.apps.messaging,Sharnab Debnath.,Good,4
com.google.android.apps.messaging,Debbie Jones,5 stars,5
com.google.android.apps.messaging,Sadhan Mondal,Very useful app,5
com.google.android.apps.messaging,Ajay Vikram,From last update it is full of bugs. Please fix it 🙏,3
com.google.android.apps.messaging,Emily Juarez,It very easy to use.,5
com.google.android.apps.messaging,Walter Baker,Best message app on Google play,5
com.google.android.apps.messaging,joy roy,Nice,5
